Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,47.750000,49.799999,35.599998,36.400002,29.369658,12206700
2009-02-01,36.599998,38.700001,32.259998,35.250000,28.441774,11402000
2009-03-01,35.150002,39.500000,31.500000,36.500000,29.450342,8634200
2009-04-01,36.900002,38.590000,31.150000,33.650002,28.061098,13355800
2009-05-01,33.750000,35.150002,32.049999,33.680000,28.086113,12131900
2009-06-01,34.840000,35.259998,31.910000,34.470001,28.744909,10767000
2009-07-01,34.349998,35.700001,33.000000,33.119999,27.619122,9276700
2009-08-01,33.900002,33.900002,31.400000,33.549999,27.977707,21604700
2009-09-01,33.700001,34.700001,31.379999,31.570000,26.326561,7771200
2009-10-01,31.709999,34.049999,30.020000,31.410000,26.583080,8201000
2009-11-01,32.000000,33.360001,30.510000,30.780001,26.049894,4782600
2009-12-01,30.750000,31.000000,28.260000,29.820000,25.237423,6029800
2010-01-01,30.250000,36.799999,30.250000,34.900002,29.536758,9382700
2010-02-01,35.110001,35.549999,28.840000,33.869999,28.665041,4642000
2010-03-01,34.799999,43.950001,34.549999,41.650002,35.249451,8073900
2010-04-01,42.549999,43.750000,40.480000,41.900002,36.448414,4027500
2010-05-01,41.849998,42.500000,34.750000,36.450001,31.707504,6306600
2010-06-01,36.900002,40.500000,33.000000,37.270000,32.420818,3843200
2010-07-01,37.270000,38.540001,33.459999,35.209999,30.628843,2163100
2010-08-01,35.200001,35.480000,32.240002,34.750000,30.228693,1829800
2010-09-01,34.849998,36.610001,31.100000,31.200001,27.140579,3513900
2010-10-01,31.200001,33.500000,31.170000,32.150002,28.133419,4272500
2010-11-01,32.110001,34.099998,31.190001,34.099998,29.839798,1554600
2010-12-01,34.500000,37.049999,34.500000,36.330002,31.791195,2694700
2011-01-01,36.450001,37.000000,33.150002,34.099998,29.839798,8784100
2011-02-01,34.639999,38.599998,34.349998,36.650002,32.071220,2460800
2011-03-01,36.750000,37.070000,30.459999,33.740002,29.524773,4059600
2011-04-01,33.500000,33.500000,29.299999,29.790001,26.455067,3950200
2011-05-01,30.350000,30.850000,27.510000,28.900000,25.664696,4754200
2011-06-01,29.049999,29.490000,22.379999,23.299999,20.691608,3428300
2011-07-01,22.910000,25.379999,19.360001,19.950001,17.716639,3855900
2011-08-01,20.139999,22.000000,17.700001,21.980000,19.519382,9726200
2011-09-01,21.600000,21.850000,17.799999,18.150000,16.118139,2286500
2011-10-01,18.100000,19.780001,17.670000,18.900000,16.784180,3949000
2011-11-01,18.309999,20.250000,17.750000,19.049999,16.917385,4603100
2011-12-01,18.500000,18.520000,16.650000,16.940001,15.043600,4346500
2012-01-01,17.230000,17.920000,16.129999,16.940001,15.043600,3587600
